-270,-265,-260,-255,-250,-245,-240,-235,-230,-225,-220,-215,-210,-205,-200,-195,-190,-185,-180,-175,-170,-165,-160,-155,-150,-145,-140,-135,-130,-125,-120,-115,-110,-105,-100,-95,-90,-85,-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
-1.56,-1.5672,-1.5889,-1.6247,-1.6746,-1.738,-1.8146,-1.9036,-2.0045,-2.1165,-2.2387,-2.3702,-2.51,-2.657,-2.8102,-2.9682,-3.1301,-3.2944,-3.46,-3.6256,-3.7899,-3.9518,-4.1098,-4.263,-4.41,-4.5498,-4.6813,-4.8035,-4.9155,-5.0164,-5.1054,-5.182,-5.2454,-5.2953,-5.3311,-5.3528,-5.36,-5.3528,-5.3311,-5.2953,-5.2454,-5.182,-5.1054,-5.0164,-4.9155,-4.8035,-4.6813,-4.5498,-4.41,-4.263,-4.1098,-3.9518,-3.7899,-3.6256,-3.46,-3.2944,-3.1301,-2.9682,-2.8102,-2.657,-2.51,-2.3702,-2.2387,-2.1165,-2.0045,-1.9036,-1.8146,-1.738,-1.6746,-1.6247,-1.5889,-1.5672,-1.56
6.07,6.0625,6.0399,6.0025,5.9506,5.8845,5.8047,5.7119,5.6068,5.4901,5.3627,5.2257,5.08,4.9268,4.7672,4.6025,4.4338,4.2626,4.09,3.9174,3.7462,3.5775,3.4128,3.2532,3.1,2.9543,2.8173,2.6899,2.5732,2.4681,2.3753,2.2955,2.2294,2.1775,2.1401,2.1175,2.11,2.1175,2.1401,2.1775,2.2294,2.2955,2.3753,2.4681,2.5732,2.6899,2.8173,2.9543,3.1,3.2532,3.4128,3.5775,3.7462,3.9174,4.09,4.2626,4.4338,4.6025,4.7672,4.9268,5.08,5.2257,5.3627,5.4901,5.6068,5.7119,5.8047,5.8845,5.9506,6.0025,6.0399,6.0625,6.07
4.91,4.9024,4.8798,4.8422,4.79,4.7236,4.6434,4.5501,4.4444,4.3271,4.1991,4.0614,3.915,3.761,3.6006,3.435,3.2656,3.0934,2.92,2.7466,2.5744,2.405,2.2394,2.079,1.925,1.7786,1.6409,1.5129,1.3956,1.2899,1.1966,1.1164,1.05,0.99781,0.96023,0.93757,0.93,0.93757,0.96023,0.99781,1.05,1.1164,1.1966,1.2899,1.3956,1.5129,1.6409,1.7786,1.925,2.079,2.2394,2.405,2.5744,2.7466,2.92,3.0934,3.2656,3.435,3.6006,3.761,3.915,4.0614,4.1991,4.3271,4.4444,4.5501,4.6434,4.7236,4.79,4.8422,4.8798,4.9024,4.91
4.16,4.1538,4.1351,4.1041,4.0611,4.0063,3.9403,3.8634,3.7763,3.6797,3.5742,3.4607,3.34,3.2131,3.0809,2.9445,2.8048,2.6629,2.52,2.3771,2.2352,2.0955,1.9591,1.8269,1.7,1.5793,1.4658,1.3603,1.2637,1.1766,1.0997,1.0337,0.9789,0.93588,0.90492,0.88624,0.88,0.88624,0.90492,0.93588,0.9789,1.0337,1.0997,1.1766,1.2637,1.3603,1.4658,1.5793,1.7,1.8269,1.9591,2.0955,2.2352,2.3771,2.52,2.6629,2.8048,2.9445,3.0809,3.2131,3.34,3.4607,3.5742,3.6797,3.7763,3.8634,3.9403,4.0063,4.0611,4.1041,4.1351,4.1538,4.16
4.55,4.5428,4.5214,4.4859,4.4366,4.3739,4.2981,4.21,4.1102,3.9994,3.8784,3.7483,3.61,3.4645,3.313,3.1566,2.9965,2.8339,2.67,2.5061,2.3435,2.1834,2.027,1.8755,1.73,1.5917,1.4616,1.3406,1.2298,1.13,1.0419,0.96614,0.90338,0.85406,0.81856,0.79715,0.79,0.79715,0.81856,0.85406,0.90338,0.96614,1.0419,1.13,1.2298,1.3406,1.4616,1.5917,1.73,1.8755,2.027,2.1834,2.3435,2.5061,2.67,2.8339,2.9965,3.1566,3.313,3.4645,3.61,3.7483,3.8784,3.9994,4.1102,4.21,4.2981,4.3739,4.4366,4.4859,4.5214,4.5428,4.55
2.48,2.4727,2.451,2.4149,2.3648,2.301,2.2241,2.1346,2.0331,1.9206,1.7977,1.6655,1.525,1.3772,1.2233,1.0643,0.90167,0.73647,0.57,0.40353,0.23833,0.075656,-0.083258,-0.2372,-0.385,-0.52553,-0.65772,-0.78057,-0.89314,-0.99458,-1.0841,-1.161,-1.2248,-1.2749,-1.311,-1.3327,-1.34,-1.3327,-1.311,-1.2749,-1.2248,-1.161,-1.0841,-0.99458,-0.89314,-0.78057,-0.65772,-0.52553,-0.385,-0.2372,-0.083258,0.075656,0.23833,0.40353,0.57,0.73647,0.90167,1.0643,1.2233,1.3772,1.525,1.6655,1.7977,1.9206,2.0331,2.1346,2.2241,2.301,2.3648,2.4149,2.451,2.4727,2.48
5.21,5.2025,5.1802,5.1432,5.0918,5.0264,4.9474,4.8555,4.7514,4.6359,4.5099,4.3742,4.23,4.0783,3.9204,3.7573,3.5904,3.4208,3.25,3.0792,2.9096,2.7427,2.5796,2.4217,2.27,2.1258,1.9901,1.8641,1.7486,1.6445,1.5526,1.4736,1.4082,1.3568,1.3198,1.2975,1.29,1.2975,1.3198,1.3568,1.4082,1.4736,1.5526,1.6445,1.7486,1.8641,1.9901,2.1258,2.27,2.4217,2.5796,2.7427,2.9096,3.0792,3.25,3.4208,3.5904,3.7573,3.9204,4.0783,4.23,4.3742,4.5099,4.6359,4.7514,4.8555,4.9474,5.0264,5.0918,5.1432,5.1802,5.2025,5.21
5.34,5.3331,5.3125,5.2783,5.2308,5.1704,5.0975,5.0127,4.9165,4.8099,4.6934,4.5682,4.435,4.2949,4.1491,3.9985,3.8443,3.6878,3.53,3.3722,3.2157,3.0615,2.9109,2.7651,2.625,2.4918,2.3666,2.2501,2.1435,2.0473,1.9625,1.8896,1.8292,1.7817,1.7475,1.7269,1.72,1.7269,1.7475,1.7817,1.8292,1.8896,1.9625,2.0473,2.1435,2.2501,2.3666,2.4918,2.625,2.7651,2.9109,3.0615,3.2157,3.3722,3.53,3.6878,3.8443,3.9985,4.1491,4.2949,4.435,4.5682,4.6934,4.8099,4.9165,5.0127,5.0975,5.1704,5.2308,5.2783,5.3125,5.3331,5.34
1.34,1.3327,1.3108,1.2746,1.2242,1.1601,1.0828,0.99277,0.89081,0.77765,0.65415,0.52127,0.38,0.23143,0.076679,-0.083067,-0.2466,-0.41266,-0.58,-0.74734,-0.9134,-1.0769,-1.2367,-1.3914,-1.54,-1.6813,-1.8142,-1.9376,-2.0508,-2.1528,-2.2428,-2.3201,-2.3842,-2.4346,-2.4708,-2.4927,-2.5,-2.4927,-2.4708,-2.4346,-2.3842,-2.3201,-2.2428,-2.1528,-2.0508,-1.9376,-1.8142,-1.6813,-1.54,-1.3914,-1.2367,-1.0769,-0.9134,-0.74734,-0.58,-0.41266,-0.2466,-0.083067,0.076679,0.23143,0.38,0.52127,0.65415,0.77765,0.89081,0.99277,1.0828,1.1601,1.2242,1.2746,1.3108,1.3327,1.34
1.55,1.5422,1.5187,1.4798,1.4258,1.357,1.274,1.1775,1.0681,0.94664,0.81414,0.67157,0.52,0.36059,0.19456,0.023167,-0.15228,-0.33046,-0.51,-0.68954,-0.86772,-1.0432,-1.2146,-1.3806,-1.54,-1.6916,-1.8341,-1.9666,-2.0881,-2.1975,-2.294,-2.377,-2.4458,-2.4998,-2.5387,-2.5622,-2.57,-2.5622,-2.5387,-2.4998,-2.4458,-2.377,-2.294,-2.1975,-2.0881,-1.9666,-1.8341,-1.6916,-1.54,-1.3806,-1.2146,-1.0432,-0.86772,-0.68954,-0.51,-0.33046,-0.15228,0.023167,0.19456,0.36059,0.52,0.67157,0.81414,0.94664,1.0681,1.1775,1.274,1.357,1.4258,1.4798,1.5187,1.5422,1.55
