,ID,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
Fz_011,111,1284.720563,1284.156764,1273.819756,1253.78821,1224.214579,1185.323936,1137.412262,1080.844194,1016.050249,943.523548,863.8160632,777.5344165,685.3352635,587.9202953,486.0308986,380.4425134,271.9587308,161.4051782,49.62323463
Fz_012,112,1422.615182,1425.629959,1417.794831,1399.169428,1369.895501,1330.195842,1280.37259,1220.804929,1151.946205,1074.320475,988.5185177,895.1933376,795.0551956,688.8662035,577.4345237,461.6082185,342.268796,220.3245013,96.70340409
Fz_013,113,1178.044067,1129.747505,1072.852883,1007.793202,935.0636062,855.2176119,768.8628952,676.6566676,579.3006742,477.5358529,372.1366954,263.9053529,153.6655314,42.25622232,-69.47468208,-180.6768422,-290.5039425,-398.1201323,-502.7063875
Fz_014,114,877.0475362,843.8520777,804.2343955,758.4960038,706.9849996,650.0934127,588.2542223,521.9380622,451.6496382,377.9238877,301.3219083,222.4266872,141.8386647,60.17116433,-21.95427493,-103.9126289,-185.080145,-264.8390895,-342.5824486
Fz_015,115,942.1497803,918.1940845,887.2503773,849.554159,805.3923205,755.1009602,699.0628257,637.7044009,571.4926606,500.9315161,426.5579802,348.9380806,268.6625515,186.3423381,102.6039471,18.084678,-66.57222638,-150.7224759,-233.7256364
Fz_016,116,1062.167951,1051.364037,1032.558607,1005.894782,971.5754912,929.8619241,881.0715462,825.5756818,763.796688,696.2047402,623.314254,545.6799699,463.8927317,378.5749898,290.3760636,199.9672002,108.0364657,15.28350846,-77.58576552
Fz_017,117,1215.71131,1217.386127,1209.795901,1192.998397,1167.121455,1132.362013,1088.984614,1037.319383,977.7595264,910.7583289,836.8257106,756.5243434,670.4653691,579.3037485,483.7332766,384.4813024,282.3031933,177.9765864,72.29547027
Fz_018,118,1353.950526,1364.29217,1364.250728,1353.826513,1333.098861,1302.225522,1261.44146,1211.057067,1151.455799,1083.091256,1006.483735,922.2162657,830.9301733,733.3202006,630.1292184,522.1425723,410.1821059,295.0999061,177.7718178
Fz_019,119,482.440001,486.5628371,486.9826363,483.6962035,476.7285506,466.1327055,451.9893091,434.4060011,413.5166012,389.4800902,362.4794006,332.7200239,300.4284469,265.850428,229.2491268,190.9031013,151.104188,110.1552805,68.3680249
Fz_020,120,980.2278717,939.7975229,892.2147475,837.841679,777.0921295,710.4284397,638.3579605,561.4291918,480.2276079,395.3712019,307.5057824,217.3000581,125.4405493,32.62636206,-60.43613145,-153.0386695,-244.4764909,-334.0536985,-421.0885559
Fz_021,121,1016.995739,988.2025078,951.8884585,908.3299633,857.8585286,800.8582725,737.7630014,669.0529084,595.2509187,516.9187102,434.6524381,349.0781986,260.8472631,170.6311225,79.11637601,-13.00049388,-105.0184221,-196.2370968,-285.9622887
Fz_022,122,1094.384521,1082.911155,1063.196181,1035.389642,999.7031633,956.4083394,905.8346706,848.3670529,784.4428497,714.5485628,639.2161299,559.0188762,474.5671514,386.503684,295.4986901,202.2447728,107.4516507,11.84075664,-83.86025274
Fz_023,123,1203.87962,1209.600871,1206.11633,1193.452515,1171.705805,1141.041708,1101.693593,1053.960925,998.2069787,934.8560741,864.3903502,787.3460939,704.3096584,615.9130011,522.8288739,425.7657034,325.4621987,222.6817302,118.2065193
Fz_024,124,1333.217559,1353.37143,1363.225328,1362.704258,1351.812186,1330.632006,1299.324914,1258.129175,1207.358312,1147.398724,1078.706739,1001.805145,917.279208,825.7722226,727.980612,624.6486293,516.5626934,404.5454036,289.4492789
Fz_025,125,951.6401711,967.6530013,976.3014078,977.5195711,971.2982203,957.6847035,936.7826279,908.7510708,873.8033693,832.2054966,784.2740376,730.3737796,670.9149361,606.3500248,537.1704237,463.9026313,387.1042598,307.3597912,225.2761289
