Nozzle, Nozzle type (SUPER_SHORT|BLOCKED|OFFSET|INSTALLED|COVERED), Orifice diameter
B217, OFFSET,1
B218, INSTALLED,1
B219, INSTALLED,1
B220, INSTALLED,1
B221, INSTALLED,1
B222, INSTALLED,1
B223, COVERED,0
B224, INSTALLED,1
B225, INSTALLED,1
B226, INSTALLED,1
B227, INSTALLED,1
B228, INSTALLED,1
B229, INSTALLED,1
B230, INSTALLED,1
B231, COVERED,0
B232, INSTALLED,1
B233, OFFSET,1
B234, INSTALLED,1
B235, INSTALLED,1
B236, INSTALLED,1
B237, INSTALLED,1
B238, INSTALLED,1
B239, INSTALLED,1
B240, COVERED,0
B241, INSTALLED,1
B242, INSTALLED,1
B243, INSTALLED,1
B244, INSTALLED,1
B245, INSTALLED,1
B246, COVERED,0
B247, INSTALLED,1
B248, OFFSET,1
B249, INSTALLED,1
B250, INSTALLED,1
B251, INSTALLED,1
B252, COVERED,0
B253, INSTALLED,1
B254, INSTALLED,1
B255, INSTALLED,1
B256, INSTALLED,1
B257, INSTALLED,1
B258, INSTALLED,1
B259, COVERED,0
B260, INSTALLED,1
B261, OFFSET,1
B262, OFFSET,1
B263, COVERED,0
B264, INSTALLED,1
B265, OFFSET,1
B266, OFFSET,1
B267, INSTALLED,1
B268, INSTALLED,1
B269, INSTALLED,1
B270, INSTALLED,1
B271, OFFSET,1
B272, OFFSET,1
B273, INSTALLED,1
B274, INSTALLED,1
B275, INSTALLED,1
C1, INSTALLED,0.5
C2, INSTALLED,0.5
C3, INSTALLED,0.5
C4, INSTALLED,0.5
C5, SUPER_SHORT,0
C6, INSTALLED,1
C7, INSTALLED,1
C8, INSTALLED,1
C9, INSTALLED,1
C10, INSTALLED,1
C11, SUPER_SHORT,0
C12, INSTALLED,1
C13, INSTALLED,1
C14, INSTALLED,1
C15, INSTALLED,1
C16, INSTALLED,1
C17, SUPER_SHORT,0
C18, INSTALLED,1
C19, OFFSET,1
C20, OFFSET,1
C21, INSTALLED,0.5
C22, INSTALLED,0.5
C23, INSTALLED,0.5
C24, OFFSET,1
C25, INSTALLED,1
C26, OFFSET,1
C27, INSTALLED,1
C28, INSTALLED,1
C29, INSTALLED,1
C30, OFFSET,1
C31, INSTALLED,1
C32, SUPER_SHORT,0
C33, INSTALLED,1
C34, INSTALLED,1
C35, INSTALLED,1
C36, OFFSET,1
C37, OFFSET,1
C38, OFFSET,1
C39, INSTALLED,0.5
C40, OFFSET,1
C41, INSTALLED,0.5
C42, INSTALLED,0.5
C43, INSTALLED,0.5
C44, INSTALLED,1
C45, INSTALLED,1
C46, SUPER_SHORT,0
C47, INSTALLED,1
C48, INSTALLED,1
C49, INSTALLED,1
C50, INSTALLED,1
C51, INSTALLED,1
C52, SUPER_SHORT,0
C53, INSTALLED,1
C54, INSTALLED,1
C55, INSTALLED,1
C56, INSTALLED,1
C57, INSTALLED,1
C58, INSTALLED,0.5
C59, INSTALLED,0.5
C60, INSTALLED,0.5
C61, INSTALLED,0.5
C62, OFFSET,1
C63, INSTALLED,1
C64, INSTALLED,1
C65, INSTALLED,1
C66, OFFSET,1
C67, INSTALLED,1
C68, SUPER_SHORT,0
C69, INSTALLED,1
C70, INSTALLED,1
C71, INSTALLED,1
C72, OFFSET,1
C73, INSTALLED,1
C74, SUPER_SHORT,0
C75, INSTALLED,1
C76, INSTALLED,1
C77, INSTALLED,1
C78, INSTALLED,0.5
C79, INSTALLED,1
C80, INSTALLED,0.5
C81, INSTALLED,0.5
C82, SUPER_SHORT,0
C83, INSTALLED,1
C84, INSTALLED,1
C85, INSTALLED,1
C86, INSTALLED,1
C87, INSTALLED,1
C88, SUPER_SHORT,0
C89, INSTALLED,1
C90, INSTALLED,1
C91, INSTALLED,1
C92, INSTALLED,1
C93, INSTALLED,1
C94, SUPER_SHORT,0
C95, INSTALLED,1
C96, OFFSET,1
C97, INSTALLED,0.5
C98, INSTALLED,0.5
C99, INSTALLED,0.5
C100, INSTALLED,1
C101, OFFSET,1
C102, INSTALLED,1
C103, SUPER_SHORT,0
C104, INSTALLED,1
C105, INSTALLED,1
C106, INSTALLED,1
C107, OFFSET,1
C108, INSTALLED,1
C109, SUPER_SHORT,0
C110, INSTALLED,1
C111, INSTALLED,1
C112, INSTALLED,1
C113, OFFSET,1
C114, INSTALLED,0.5
C115, INSTALLED,0.5
C116, INSTALLED,1
C117, INSTALLED,1
C118, INSTALLED,1
C119, INSTALLED,1
C120, SUPER_SHORT,0
C121, INSTALLED,1
C122, INSTALLED,1
C123, INSTALLED,1
C124, INSTALLED,1
C125, INSTALLED,1
C126, SUPER_SHORT,0
C127, INSTALLED,1
C128, INSTALLED,1
C129, INSTALLED,1
C130, OFFSET,1
C131, INSTALLED,0.5
